时间戳,相对时间(秒),StereoMap 4.exe (PID:32484),StereoMap 4.exe (PID:26120),StereoMap 4.exe (PID:14284),StereoVisual.exe (PID:27372),StereoMap 4.exe (PID:28304),StereoMap 4.exe (PID:25468)
1749608679.7492023,0.0,138.89453125,10.6484375,50.98046875,52.02734375,63.22265625,301.4140625
1749608680.2947247,0.5455224514007568,139.38671875,10.4765625,50.984375,52.02734375,63.22265625,301.44140625
1749608680.8332062,1.0840039253234863,140.07421875,10.4765625,50.984375,52.02734375,63.22265625,301.453125
1749608681.3752153,1.6260130405426025,141.3125,10.4765625,50.98828125,52.02734375,63.22265625,301.50390625
1749608681.906326,2.1571238040924072,142.0078125,10.4765625,51.10546875,52.02734375,63.22265625,308.140625
1749608682.4359465,2.686744213104248,142.05859375,10.4765625,51.10546875,52.02734375,63.22265625,308.1796875
1749608682.9783037,3.2291014194488525,136.6328125,10.38671875,51.78515625,52.02734375,63.22265625,344.41796875
1749608683.5003304,3.7511281967163086,156.3203125,21.11328125,51.6875,63.66015625,63.22265625,363.7421875
1749608684.050026,4.30082368850708,223.59765625,22.078125,51.46484375,90.86328125,63.22265625,365.859375
1749608684.585739,4.836536645889282,281.26171875,25.22265625,51.4140625,82.4296875,63.22265625,365.89453125
1749608685.128446,5.379243850708008,305.0625,19.31640625,51.26171875,79.0390625,63.22265625,376.40234375
1749608685.6788023,5.92960000038147,374.2578125,22.41796875,51.24609375,73.41796875,63.22265625,386.60546875
1749608686.2215014,6.472299098968506,415.20703125,27.7109375,51.25,80.875,63.22265625,397.4140625
1749608686.7658145,7.01661229133606,484.375,22.81640625,51.234375,95.58203125,63.22265625,416.1015625
1749608687.3122814,7.563079118728638,466.4921875,22.12890625,51.21875,69.4375,63.22265625,426.10546875
1749608687.8471148,8.097912549972534,512.45703125,15.5078125,51.20703125,74.765625,63.22265625,442.30078125
1749608688.3891914,8.639989137649536,579.34765625,24.859375,51.20703125,77.0078125,63.22265625,462.06640625
1749608688.9305518,9.181349515914917,665.52734375,15.2109375,51.2109375,65.80859375,63.22265625,479.421875
1749608689.4818702,9.732667922973633,621.1875,13.8828125,51.2109375,73.97265625,63.22265625,479.41015625
1749608690.0291476,10.279945373535156,643.75390625,22.38671875,51.2109375,83.58203125,63.22265625,490.8828125
1749608690.5736015,10.82439923286438,716.2578125,21.93359375,51.2109375,76.15234375,63.22265625,504.6796875
1749608691.1311817,11.38197946548462,720.390625,10.8046875,51.2109375,51.74609375,63.22265625,520.50390625
1749608691.6607687,11.911566495895386,788.80859375,10.8046875,51.2109375,51.74609375,63.22265625,528.4140625
1749608692.2070858,12.457883596420288,770.54296875,10.8046875,51.2109375,51.74609375,63.22265625,554.5390625
1749608692.7533357,13.004133462905884,800.29296875,10.8046875,51.2109375,51.74609375,63.22265625,564.1015625
1749608693.2865496,13.537347316741943,821.5625,10.8046875,51.2109375,51.74609375,63.22265625,582.82421875
1749608693.8246582,14.075455904006958,821.44921875,10.8046875,51.2109375,51.74609375,63.22265625,581.64453125
1749608694.362016,14.612813711166382,820.9609375,10.8046875,51.2109375,51.74609375,63.22265625,581.6015625
1749608694.8903444,15.141142129898071,820.83984375,10.8046875,51.2109375,51.74609375,63.22265625,580.0703125
1749608695.4298453,15.680643081665039,820.7265625,10.8046875,51.2109375,51.74609375,63.22265625,578.5
