时间戳,相对时间(秒),StereoMap 4.exe (PID:26120),StereoMap 4.exe (PID:14284),StereoVisual.exe (PID:27372),StereoMap 4.exe (PID:28304),StereoMap 4.exe (PID:26328),StereoMap 4.exe (PID:25468)
1749608011.2105253,0.0,9.26953125,45.89453125,48.296875,54.59765625,130.62109375,290.515625
1749608011.742066,0.5315406322479248,9.2734375,45.90234375,48.296875,52.21484375,131.11328125,294.36328125
1749608012.2682922,1.0577669143676758,9.2734375,45.90625,48.296875,52.21484375,131.2265625,294.37109375
1749608012.7948136,1.5842883586883545,9.2734375,45.90625,48.296875,52.21484375,131.2421875,294.37109375
1749608013.33279,2.1222646236419678,9.2734375,45.90625,48.296875,52.21484375,131.25390625,294.37109375
1749608013.866098,2.6555726528167725,9.2734375,45.90625,48.296875,52.21484375,131.25,294.35546875
1749608014.4057152,3.195189952850342,9.2734375,45.90625,48.296875,52.21484375,131.26171875,294.35546875
1749608014.9431436,3.7326183319091797,9.2734375,45.90625,48.296875,52.21484375,131.2734375,294.3515625
1749608015.4782624,4.267737150192261,9.2734375,45.90625,48.296875,52.21484375,131.25390625,294.3515625
1749608016.0150745,4.804549217224121,9.2734375,45.9375,48.296875,52.21484375,131.265625,294.3515625
1749608016.5505075,5.339982271194458,9.2734375,45.94140625,48.296875,52.21484375,131.359375,294.3671875
1749608017.0855234,5.874998092651367,9.2734375,45.953125,48.296875,52.21484375,132.69140625,298.6484375
1749608017.6462464,6.435721158981323,9.2734375,45.9765625,48.296875,51.65234375,132.91015625,293.2890625
1749608018.1765015,6.965976238250732,9.2734375,47.13671875,48.296875,51.65234375,133.4765625,300.40625
1749608018.755245,7.544719696044922,9.2734375,47.83984375,67.265625,51.65234375,130.21875,332.6484375
1749608019.2730315,8.062506198883057,16.2734375,48.12890625,66.1796875,51.66796875,151.8046875,352.04296875
1749608019.81816,8.607634782791138,18.26171875,48.26953125,75.08203125,51.67578125,208.0,352.8046875
1749608020.347523,9.136997699737549,20.4609375,48.296875,79.79296875,51.67578125,251.10546875,356.9296875
1749608020.9238994,9.713374137878418,16.10546875,48.26171875,67.99609375,50.9765625,299.55859375,361.6328125
1749608021.4839694,10.273444175720215,27.94921875,48.26171875,69.8359375,50.9765625,352.3046875,378.3203125
